movie_index,budget,popularity,runtime,revenue,collection_revenue_mean,genre_revenue_mean_monthly,genre_revenue_mean_overall,origlang_revenue_mean,prod_revenue_mean,keyword_revenue_mean,cast_revenue_mean,producer_revenue_mean,executive producer_revenue_mean,director_revenue_mean,screenplay_revenue_mean,director of photography_revenue_mean,original music composer_revenue_mean,writer_revenue_mean
2155,3000000,0.8782549999999999,99.0,9713500,43302248.336739436,31594567.21276596,62890956.44336569,6525915.136363637,9713500.0,11148235.858267717,9418760.375,150277.0,108844943.57861853,9955928.5,96116219.25723067,77831515.49917515,87510819.76303792,9955928.5
2479,24000000,6.253083999999999,93.0,68729358,43302248.336739436,43572424.3939759,53552879.17168285,74890278.83246753,43423658.13580247,65100731.45238095,102773733.90746318,92863341.13333333,108844943.57861853,68729358.0,34687272.0,153217222.15384614,103610478.81818181,46244868.8251073
2987,20000000,12.553403,84.0,16605763,43302248.336739436,39234748.31055233,74719004.67831519,74890278.83246753,123868325.31740741,7935166.357142857,62950411.15394851,249404124.69047618,59742161.75,16605763.0,96116219.25723067,47990232.85714286,381638494.6923077,16605763.0
1522,130000000,10.747641999999999,100.0,243843127,43302248.336739436,216835013.98757064,135214877.02860567,74890278.83246753,225792507.3309524,129120751.76119404,224715780.072807,268913955.1875,211145207.1666667,238173380.6,223733295.0,62365682.666666664,237876238.90625,46244868.8251073
2559,30000000,18.502876999999998,79.0,48428063,43302248.336739436,56694250.05484285,125989525.26097843,74890278.83246753,73225595.61089431,77613085.16248694,104335991.03863636,49159264.666666664,108844943.57861853,48428063.0,48428063.0,77831515.49917515,150780605.9047619,46244868.8251073
729,14000000,0.8256379999999999,112.0,16656125,43302248.336739436,139339987.4750241,82224071.03718051,74890278.83246753,72370197.28911564,26609430.11111111,33613316.5625,16656125.0,108844943.57861853,16656125.0,96116219.25723067,64120456.0,12953062.5,16656125.0
333,5000000,6.226054,97.0,346592,43302248.336739436,30100860.293144207,53886310.991197295,74890278.83246753,8147643.25,31368083.413085308,88833899.03411801,8424708.5,1026409.0,346592.0,96116219.25723067,35294703.5,74661145.25,346592.0
2352,28000000,15.802306,118.0,333000000,531269279.6666667,241109781.04657334,142618667.1719408,74890278.83246753,228091161.43197277,283143246.5335981,300543266.69603705,403585903.0,215420604.1,417390522.9,130076025.33333333,403585903.0,315321506.2105263,46244868.8251073
1408,70000000,11.898185,99.0,218613188,43302248.336739436,114181738.36281684,111190798.89201263,74890278.83246753,286913115.0208333,188824033.3511364,180636261.5690321,215460193.5277778,108844943.57861853,172328629.0,229076537.25,77831515.49917515,331688849.3333333,46244868.8251073
1014,12000000,5.914833,114.0,22750363,43302248.336739436,28902276.666666668,44154931.81765135,74890278.83246753,78632878.60465117,60591534.17405472,64602410.70021495,13401177.416666668,22750363.0,25678943.5,96116219.25723067,121512500.38461539,88218726.75757575,25678943.5
1224,20000000,8.129407,82.0,80547866,80547866.0,40377391.67660269,59037530.74374167,74890278.83246753,73412567.4351852,80556291.66295205,96412062.03174603,120565420.33333333,70435116.14285715,80547866.0,96116219.25723067,47357359.5,115775509.0,80547866.0
2658,13000000,3.9606220000000003,94.0,27500000,43302248.336739436,39856593.41772152,62890956.44336569,74890278.83246753,120589003.14285715,52737004.0,78087739.16555555,43249670.3,31830187.5,20688854.666666668,24094427.333333336,22486328.0,104581476.73684211,46244868.8251073
197,7000000,0.8614729999999999,87.0,136203,43302248.336739436,131630480.91666667,55184105.044117644,74890278.83246753,136203.0,53651554.37857143,23589311.583333332,84061698.12451862,108844943.57861853,136203.0,136203.0,77831515.49917515,87510819.76303792,46244868.8251073
888,20000000,10.680121,128.0,54586584,43302248.336739436,35981851.84979973,40961855.01626369,74890278.83246753,28170843.85,69094768.09287868,78271100.78009768,119788668.0,108844943.57861853,32909134.2,96116219.25723067,67318174.0,87510819.76303792,54586584.0
2923,0,4.755758999999999,95.0,12520799,43302248.336739436,103707829.2503655,57480991.83044257,74890278.83246753,31719481.587962963,73407130.47368202,47707022.02606692,32716346.722222224,42930462.0,12520799.0,27725630.5,6696039.0,46453816.5,46244868.8251073
189,180000000,16.088366,98.0,521311860,43302248.336739436,321231992.0247209,146635471.4366871,74890278.83246753,453952727.66008776,97182123.23809524,469206097.51272416,507033048.1666667,523028915.5625,611340616.3333334,536602915.25,584377670.2,217931125.88235295,46244868.8251073
796,13000000,24.515462,90.0,20560255,37798098.5,57834613.598745525,78395395.75380395,74890278.83246753,114027206.39130434,69148595.16658655,23790081.53782654,20560255.0,20560255.0,20560255.0,37798098.5,145416321.66666666,20560255.0,46244868.8251073
2122,70000000,10.978188000000001,120.0,161025640,183390043.5,66163458.398863636,90001041.10864711,74890278.83246753,69678749.65555555,148463834.4920635,123897626.94482325,159692312.69444445,108844943.57861853,136313328.25,96116219.25723067,161025640.0,161025640.0,161025640.0
1768,0,2.345336,91.0,8533973,43302248.336739436,33928256.64285714,62890956.44336569,74890278.83246753,3832819.9930555555,54077829.658841945,48197769.18518518,84061698.12451862,108844943.57861853,8533973.0,96116219.25723067,77831515.49917515,87510819.76303792,46244868.8251073
58,125000000,17.038823999999998,125.0,238207122,259103561.0,163622613.56238553,104734313.22813196,74890278.83246753,102305566.47191697,340652655.829652,149674117.79280046,238207122.0,392849934.4,94546397.33333333,96116219.25723067,99455770.375,153152118.75,46244868.8251073
2238,1000000,0.045860000000000005,124.0,2691899,43302248.336739436,37732347.59259259,44154931.81765135,74890278.83246753,11820471.809523808,48911330.86606061,7655117.912280701,2691899.0,108844943.57861853,2691899.0,96116219.25723067,2691899.0,2691899.0,2691899.0
894,25000000,6.570917999999999,100.0,13000000,43302248.336739436,55312483.06944445,56233655.037743054,74890278.83246753,59124230.42208333,120263916.61072108,79478162.01150794,8550000.0,13000000.0,13000000.0,96116219.25723067,77831515.49917515,87510819.76303792,13000000.0
1149,17000000,11.454835000000001,97.0,129042871,129042871.0,50011126.4125,62890956.44336569,74890278.83246753,111063414.35941042,85554948.82266763,118442678.16282372,62152081.75,96438160.0,142211652.33333334,129042871.0,47990232.85714286,103610478.81818181,46244868.8251073
1494,7000000,5.701278,90.0,13818181,13818181.0,77049985.58375669,78395395.75380395,74890278.83246753,12552416.125,92778019.21538462,37458599.21918768,13396259.375,24964016.125,8888803.0,13818181.0,12130494.5,13818181.0,46244868.8251073
